metric,point_estimate,bootstrap_mean,bootstrap_std,ci_2.5%,ci_97.5%
ROC-AUC,0.6439287167254634,0.6440236295707416,0.0032145769783445306,0.637692583322198,0.6502803493229178
Average precision,0.19837483428236902,0.19853195724459477,0.00484963304014624,0.1894146017152567,0.20837227481744663
Brier score,0.09605910989250677,0.09608219130440264,0.0008907237731724902,0.09438545014127946,0.09788064386607195
